# lat,long,time(min)
55.864840,12.072636,98
55.862340,12.072636,94
55.859840,12.072636,97
55.857340,12.072636,99
55.854840,12.072636,92
55.852340,12.072636,99
55.849840,12.072636,88
55.847340,12.072636,85
55.844840,12.072636,78
55.842340,12.072636,76
55.839840,12.072636,75
55.837340,12.072636,71
55.834840,12.072636,69
55.832340,12.072636,70
55.829840,12.072636,74
55.827340,12.072636,77
55.824840,12.072636,80
55.822340,12.072636,80
55.819840,12.072636,84
55.817340,12.072636,88
55.814840,12.072636,90
55.812340,12.072636,102
55.809840,12.072636,103
55.679840,12.072636,76
55.677340,12.072636,78
55.652340,12.072636,74
55.649840,12.072636,70
55.647340,12.072636,58
55.644840,12.072636,56
55.642340,12.072636,53
55.639840,12.072636,51
55.637340,12.072636,52
55.634840,12.072636,57
55.632340,12.072636,55
55.629840,12.072636,58
55.627340,12.072636,62
55.624840,12.072636,63
55.622340,12.072636,66
55.619840,12.072636,73
55.617340,12.072636,74
55.614840,12.072636,74
55.612340,12.072636,73
55.609840,12.072636,73
55.607340,12.072636,72
55.604840,12.072636,77
55.602340,12.072636,77
55.599840,12.072636,84
55.597340,12.072636,87
55.579840,12.072636,99
55.577340,12.072636,95
55.574840,12.072636,95
55.572340,12.072636,94
55.569840,12.072636,94
55.567340,12.072636,100
55.564840,12.072636,103
55.562340,12.072636,108
55.554840,12.072636,97
55.552340,12.072636,100
55.864840,12.077636,101
55.862340,12.077636,98
55.859840,12.077636,95
55.857340,12.077636,95
55.854840,12.077636,96
55.852340,12.077636,93
55.849840,12.077636,87
55.847340,12.077636,83
55.844840,12.077636,83
55.842340,12.077636,80
55.839840,12.077636,77
55.837340,12.077636,75
55.834840,12.077636,74
55.832340,12.077636,75
55.829840,12.077636,82
55.827340,12.077636,79
55.824840,12.077636,86
55.822340,12.077636,82
55.819840,12.077636,85
55.817340,12.077636,88
55.814840,12.077636,90
55.812340,12.077636,93
55.809840,12.077636,98
55.687340,12.077636,76
55.684840,12.077636,76
55.682340,12.077636,75
55.679840,12.077636,75
55.677340,12.077636,75
55.674840,12.077636,77
55.649840,12.077636,58
55.647340,12.077636,57
55.644840,12.077636,53
55.642340,12.077636,48
55.639840,12.077636,47
55.637340,12.077636,46
55.634840,12.077636,49
55.632340,12.077636,55
55.629840,12.077636,55
55.627340,12.077636,58
55.624840,12.077636,57
55.622340,12.077636,62
55.619840,12.077636,67
55.617340,12.077636,78
55.614840,12.077636,69
55.612340,12.077636,72
55.609840,12.077636,69
55.607340,12.077636,71
55.604840,12.077636,75
55.602340,12.077636,82
55.599840,12.077636,83
55.597340,12.077636,86
55.584840,12.077636,102
55.582340,12.077636,99
55.579840,12.077636,96
55.577340,12.077636,93
55.574840,12.077636,91
55.572340,12.077636,91
55.569840,12.077636,90
55.567340,12.077636,91
55.564840,12.077636,91
55.562340,12.077636,91
55.559840,12.077636,118
55.554840,12.077636,93
55.552340,12.077636,92
55.864840,12.082636,103
55.862340,12.082636,84
55.859840,12.082636,99
55.857340,12.082636,92
55.854840,12.082636,95
55.852340,12.082636,89
55.849840,12.082636,85
55.847340,12.082636,82
55.844840,12.082636,79
55.842340,12.082636,79
55.839840,12.082636,83
55.837340,12.082636,80
55.834840,12.082636,80
55.832340,12.082636,85
55.829840,12.082636,80
55.827340,12.082636,81
55.824840,12.082636,82
55.822340,12.082636,82
55.819840,12.082636,87
55.817340,12.082636,88
55.814840,12.082636,90
55.812340,12.082636,94
55.809840,12.082636,103
55.792340,12.082636,127
55.789840,12.082636,129
55.787340,12.082636,133
55.687340,12.082636,78
55.684840,12.082636,78
55.682340,12.082636,78
55.679840,12.082636,75
55.677340,12.082636,76
55.674840,12.082636,72
55.672340,12.082636,72
55.669840,12.082636,71
55.649840,12.082636,55
55.647340,12.082636,52
55.644840,12.082636,49
55.642340,12.082636,44
55.639840,12.082636,43
55.637340,12.082636,45
55.634840,12.082636,47
55.632340,12.082636,51
55.629840,12.082636,55
55.627340,12.082636,57
55.624840,12.082636,56
55.622340,12.082636,59
55.619840,12.082636,62
55.617340,12.082636,65
55.614840,12.082636,67
55.612340,12.082636,73
55.609840,12.082636,71
55.607340,12.082636,69
55.604840,12.082636,72
55.602340,12.082636,75
55.599840,12.082636,79
55.597340,12.082636,82
55.594840,12.082636,86
55.592340,12.082636,103
55.584840,12.082636,116
55.582340,12.082636,117
55.579840,12.082636,94
55.577340,12.082636,90
55.574840,12.082636,88
55.572340,12.082636,84
55.569840,12.082636,86
55.567340,12.082636,92
55.564840,12.082636,91
55.562340,12.082636,87
55.559840,12.082636,94
55.557340,12.082636,108
55.554840,12.082636,89
55.552340,12.082636,87
55.864840,12.087636,98
55.862340,12.087636,97
55.859840,12.087636,83
55.857340,12.087636,98
55.854840,12.087636,100
55.852340,12.087636,95
55.849840,12.087636,88
55.847340,12.087636,91
55.844840,12.087636,82
55.842340,12.087636,89
55.839840,12.087636,91
55.837340,12.087636,87
55.834840,12.087636,85
55.832340,12.087636,85
55.829840,12.087636,81
55.827340,12.087636,80
55.824840,12.087636,75
55.822340,12.087636,81
55.819840,12.087636,81
55.817340,12.087636,84
55.814840,12.087636,90
55.812340,12.087636,92
55.809840,12.087636,92
55.807340,12.087636,121
55.804840,12.087636,148
55.802340,12.087636,142
55.799840,12.087636,139
55.797340,12.087636,125
55.794840,12.087636,125
55.792340,12.087636,123
55.789840,12.087636,126
55.787340,12.087636,129
55.784840,12.087636,131
55.782340,12.087636,81
55.779840,12.087636,81
55.774840,12.087636,75
55.772340,12.087636,78
55.764840,12.087636,76
55.694840,12.087636,82
55.684840,12.087636,78
55.682340,12.087636,76
55.679840,12.087636,74
55.677340,12.087636,71
55.674840,12.087636,70
55.672340,12.087636,73
55.659840,12.087636,62
55.657340,12.087636,60
55.654840,12.087636,57
55.652340,12.087636,57
55.649840,12.087636,54
55.647340,12.087636,50
55.644840,12.087636,45
55.642340,12.087636,42
55.639840,12.087636,38
55.637340,12.087636,41
55.634840,12.087636,45
55.632340,12.087636,49
55.629840,12.087636,53
55.627340,12.087636,53
55.624840,12.087636,54
55.622340,12.087636,55
55.619840,12.087636,64
55.617340,12.087636,61
55.614840,12.087636,58
55.612340,12.087636,62
55.609840,12.087636,65
55.607340,12.087636,62
55.604840,12.087636,71
55.602340,12.087636,75
55.599840,12.087636,79
55.597340,12.087636,82
55.594840,12.087636,85
55.592340,12.087636,103
55.589840,12.087636,103
55.587340,12.087636,114
55.584840,12.087636,120
55.582340,12.087636,120
55.579840,12.087636,90
55.577340,12.087636,90
55.574840,12.087636,84
55.572340,12.087636,83
55.569840,12.087636,83
55.567340,12.087636,84
55.564840,12.087636,87
55.562340,12.087636,90
55.559840,12.087636,93
55.557340,12.087636,96
55.552340,12.087636,83
55.864840,12.092636,97
55.862340,12.092636,92
55.859840,12.092636,92
55.857340,12.092636,97
55.854840,12.092636,100
55.852340,12.092636,92
55.849840,12.092636,90
55.847340,12.092636,87
55.844840,12.092636,86
55.842340,12.092636,86
55.839840,12.092636,92
55.837340,12.092636,91
55.834840,12.092636,93
55.832340,12.092636,91
55.829840,12.092636,87
55.827340,12.092636,79
55.824840,12.092636,80
55.822340,12.092636,76
55.819840,12.092636,77
55.817340,12.092636,82
55.814840,12.092636,89
55.812340,12.092636,96
55.809840,12.092636,96
55.807340,12.092636,104
55.804840,12.092636,102
55.802340,12.092636,92
55.799840,12.092636,98
55.797340,12.092636,95
55.794840,12.092636,92
55.792340,12.092636,119
55.789840,12.092636,118
55.787340,12.092636,128
55.784840,12.092636,84
55.782340,12.092636,81
55.779840,12.092636,78
55.777340,12.092636,76
55.774840,12.092636,73
55.772340,12.092636,75
55.769840,12.092636,72
55.767340,12.092636,74
